codebase_size_kloc,function_count,cyclomatic_complexity,is_legacy,coverage_pct
984.2,474,24.5,1,140.83 
827.7,477,38.3,0,107.31 
812.2,923,23.9,0,81.81 
506.9,437,29.6,1,112.03 
671.4,186,29.6,1,111.11 
633.8,634,23.0,0,90.16 
540.4,561,24.4,0,83.43 
670.8,707,20.0,0,78.19 
502.1,930,27.4,0,70.62 
872.8,148,28.6,1,132.96 
888.2,238,14.9,0,105.64 
347.5,947,25.1,1,79.19 
900.9,168,12.1,1,133.14 
416.5,813,32.5,1,89.52 
279.3,565,15.8,0,55.6
537.7,809,16.0,0,58.2 
620.6,858,14.0,1,91.17 
719.8,253,36.6,0,95.59 
978.7,459,33.3,1,142.5 
973.2,993,12.6,0,97.79 
