codebase_size_kloc,function_count,cyclomatic_complexity,is_legacy,coverage_pct
463.7,562,11.7,1,83.31 
413.2,610,10.0,0,49.24 
93.1,74,6.1,1,65.68 
237.0,130,1.9,1,66.17 
236.2,333,15.0,1,66.45 
429.6,550,4.9,1,84.19 
13.5,760,12.0,0,20.03 
43.3,643,1.6,1,39.92 
234.8,23,7.2,0,50.57 
57.4,331,9.0,1,69.77 
183.6,941,4.1,1,48.92 
261.4,203,5.2,0,49.36 
105.6,370,6.3,0,37.94 
151.2,483,1.0,0,29.5 
328.5,619,10.1,0,57.54 
387.2,221,2.8,0,48.74 
345.9,471,8.9,0,53.49 
433.9,842,6.1,0,43.4 
270.6,413,9.8,0,53.37 
219.2,294,15.4,0,55.88 
116.3,200,5.2,1,62.38 
495.7,370,14.9,0,60.02 
471.6,603,14.1,0,73.83 
143.3,888,13.8,1,56.76 
483.5,594,10.3,1,78.52 
